Research rank,Callable rank,Existing cockpit record,Business,Category,City / service area,State,Phone,Email,Paid channel(s),Paid-signal confidence,Paid evidence,Platform response / demand,Recommended first conversation,Why this angle,Google profile status,Google rating,Google reviews,Google Maps,Google search,Website status,Website,Platform profile(s),Evidence page(s),Observed,Cockpit lead ID,Match method,Possible existing IDs,Status,Notes
72,72,New contact · identity and phone verified,"Eazy Breezy Heating and Cooling, LLC",HVAC,Tucson,AZ,'+1 520-207-0334,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 7 hrs · 39 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 44 reviews at 4.1, creating a concrete reputation-system conversation.",Current Google profile matched,4.1,44,"https://www.google.com/maps/place/Eazy+Breezy+Heating+%26+Cooling/@32.1795993,-110.9568903,14z/data=!4m8!1m2!2m1!1sEazy+Breezy+Heating+%26+Cooling!3m4!1s0x86d67aa6f9936821:0x75af3332eea5c267!8m2!3d32.1795993!4d-110.9568903","https://www.google.com/maps/place/Eazy+Breezy+Heating+%26+Cooling/@32.1795993,-110.9568903,14z/data=!4m8!1m2!2m1!1sEazy+Breezy+Heating+%26+Cooling!3m4!1s0x86d67aa6f9936821:0x75af3332eea5c267!8m2!3d32.1795993!4d-110.9568903",Live,https://www.eazybreezyheat-ac.com/,,https://www.angi.com/companylist/us/az/tucson/hvac.htm,2026-07-22,platform-eazy-breezy-heating-and-cooling-tucson,,,,
73,73,New contact · identity and phone verified,"W & D Roofing and Contracting, LLC",Roofing,Tucson,AZ,'+1 520-409-1812,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 77 recent quote requests | Angi · response 1 day · 74 recent quote requests | Angi · response 1 day · 73 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 34 reviews at 4.8, creating a concrete reputation-system conversation.",Current Google profile matched,4.8,34,"https://www.google.com/maps/place/W%26D+Roofing+and+Contracting/@32.1707661,-110.92422579999999,14z/data=!4m8!1m2!2m1!1sW%26D+Roofing+and+Contracting!3m4!1s0x86d67b799192c6c5:0x57512b096cdb9086!8m2!3d32.1707661!4d-110.92422579999999","https://www.google.com/maps/place/W%26D+Roofing+and+Contracting/@32.1707661,-110.92422579999999,14z/data=!4m8!1m2!2m1!1sW%26D+Roofing+and+Contracting!3m4!1s0x86d67b799192c6c5:0x57512b096cdb9086!8m2!3d32.1707661!4d-110.92422579999999",Live,https://arizonaroofpro.com/,,https://www.angi.com/companylist/us/az/tucson/roofing.htm | https://www.angi.com/companylist/us/az/sierra-vista/roofing.htm | https://www.angi.com/companylist/us/az/casa-grande/roofing.htm,2026-07-22,platform-w-and-d-roofing-and-contracting-tucson,,,,
74,74,New contact · identity and phone verified,Allied Electric LLC,Electrical; HVAC,Flagstaff,AZ,'+1 928-833-4681,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 100% · 114 recent quote requests | Angi · response 6 hrs · rate 100% · 117 recent quote requests | Angi · response 1 day · rate 100% · 102 recent quote requests | Angi · response 1 day · rate 100% · 104 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 29 reviews at 4.8, creating a concrete reputation-system conversation.",Current Google profile matched,4.8,29,"https://www.google.com/maps/place/Allied+Electric%2C+Heating+%26+AC+Repair/@35.184455199999995,-111.6696851,14z/data=!4m8!1m2!2m1!1sAllied+Electric%2C+Heating+%26+AC+Repair!3m4!1s0x872d852147e4edf9:0x99c00347cd1bbbf3!8m2!3d35.184455199999995!4d-111.6696851","https://www.google.com/maps/place/Allied+Electric%2C+Heating+%26+AC+Repair/@35.184455199999995,-111.6696851,14z/data=!4m8!1m2!2m1!1sAllied+Electric%2C+Heating+%26+AC+Repair!3m4!1s0x872d852147e4edf9:0x99c00347cd1bbbf3!8m2!3d35.184455199999995!4d-111.6696851",Live,https://callalliedelectric.com/service-areas/flagstaff-az/,,https://www.angi.com/companylist/us/az/flagstaff/hvac.htm | https://www.angi.com/companylist/us/az/flagstaff/electrical.htm | https://www.angi.com/companylist/us/az/prescott/hvac.htm | https://www.angi.com/companylist/us/az/prescott/electrical.htm,2026-07-22,platform-allied-electric-flagstaff,,,,
75,75,New contact · identity and phone verified,"ValleyContracting, LLC",Roofing,Prescott,AZ,'+1 480-262-3604,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 3 hrs · 64 recent quote requests | Angi · response 3 hrs · 64 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 29 reviews at 4.9, creating a concrete reputation-system conversation.",Current Google profile matched,4.9,29,"https://www.google.com/maps/place/Valley+Contracting/@33.3074037,-111.87560049999999,14z/data=!4m8!1m2!2m1!1sValley+Contracting!3m4!1s0x872b00b382eabdf7:0xe82ef1d15c5d142f!8m2!3d33.3074037!4d-111.87560049999999","https://www.google.com/maps/place/Valley+Contracting/@33.3074037,-111.87560049999999,14z/data=!4m8!1m2!2m1!1sValley+Contracting!3m4!1s0x872b00b382eabdf7:0xe82ef1d15c5d142f!8m2!3d33.3074037!4d-111.87560049999999",Live,https://valleyraingutter.com/,,https://www.angi.com/companylist/us/az/prescott/roofing.htm | https://www.angi.com/companylist/us/az/casa-grande/roofing.htm,2026-07-22,platform-valleycontracting-prescott,,,,
76,76,New contact · identity and phone verified,Green Machine Pest Control,Pest Control,Phoenix,AZ,'+1 480-712-1105,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 8 hrs · 149 recent quote requests | Angi · response 8 hrs · 149 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,2094,"https://www.google.com/maps/place/Green+Machine+Pest+Control/@33.3086301,-111.6707366,14z/data=!4m8!1m2!2m1!1sGreen+Machine+Pest+Control!3m4!1s0x872baa261f2d58b7:0xbd3eda6a0ed53958!8m2!3d33.3086301!4d-111.6707366","https://www.google.com/maps/place/Green+Machine+Pest+Control/@33.3086301,-111.6707366,14z/data=!4m8!1m2!2m1!1sGreen+Machine+Pest+Control!3m4!1s0x872baa261f2d58b7:0xbd3eda6a0ed53958!8m2!3d33.3086301!4d-111.6707366",Live,https://www.greenmachinepest.com/,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm | https://www.angi.com/companylist/us/az/tucson/pest-control.htm,2026-07-22,platform-green-machine-pest-control-phoenix,,,,
77,77,New contact · identity and phone verified,"Home Concepts Custom Remodeling, LLC",Kitchen & Bath Remodeling; Plumbing,Phoenix,AZ,'+1 602-693-1678,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 days · 281 recent quote requests | Angi · response 2 days · 280 recent quote requests | Angi · response 2 days · 283 recent quote requests | Angi · response 2 days · 283 recent quote requests | Angi · response 2 days · 286 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,336,"https://www.google.com/maps/place/Home+Concepts+Custom+Remodeling/@33.3826751,-111.941435,14z/data=!4m8!1m2!2m1!1sHome+Concepts+Custom+Remodeling!3m4!1s0x872bac0cadb6a653:0xf6053d3c3cc84329!8m2!3d33.3826751!4d-111.941435","https://www.google.com/maps/place/Home+Concepts+Custom+Remodeling/@33.3826751,-111.941435,14z/data=!4m8!1m2!2m1!1sHome+Concepts+Custom+Remodeling!3m4!1s0x872bac0cadb6a653:0xf6053d3c3cc84329!8m2!3d33.3826751!4d-111.941435",Live,https://www.homeconceptscustomremodeling.com/,,https://www.angi.com/companylist/us/az/phoenix/kitchen-and-bath-remodeling.htm | https://www.angi.com/companylist/us/az/tucson/kitchen-and-bath-remodeling.htm | https://www.angi.com/companylist/us/az/flagstaff/plumbing.htm | https://www.angi.com/companylist/us/az/prescott/plumbing.htm | https://www.angi.com/companylist/us/az/sierra-vista/plumbing.htm,2026-07-22,platform-home-concepts-custom-remodeling-phoenix,,,,
78,78,New contact · identity and phone verified,"Mission Accomplished Contracting, Inc.",HVAC; Plumbing,Lake Havasu City,AZ,'+1 928-517-7703,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 67 recent quote requests | Angi · response 9 hrs · rate 98% · 73 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,219,"https://www.google.com/maps/place/Mission+Accomplished+Heating+and+Cooling/@34.4966844,-114.3372488,14z/data=!4m8!1m2!2m1!1sMission+Accomplished+Heating+and+Cooling!3m4!1s0x80d1ed2ba49184af:0x2bba5739d3f2f78f!8m2!3d34.4966844!4d-114.3372488","https://www.google.com/maps/place/Mission+Accomplished+Heating+and+Cooling/@34.4966844,-114.3372488,14z/data=!4m8!1m2!2m1!1sMission+Accomplished+Heating+and+Cooling!3m4!1s0x80d1ed2ba49184af:0x2bba5739d3f2f78f!8m2!3d34.4966844!4d-114.3372488",Live,https://callmissionaccomplished.com/,,https://www.angi.com/companylist/us/az/lake-havasu-city/hvac.htm | https://www.angi.com/companylist/us/az/lake-havasu-city/plumbing.htm,2026-07-22,platform-mission-accomplished-contracting-lake-havasu-city,,,,
79,79,New contact · identity and phone verified,"Oasis Air, LLC",HVAC,Phoenix,AZ,'+1 480-485-5630,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 hrs · rate 94% · 217 recent quote requests | Angi · response 2 hrs · rate 94% · 210 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,213,"https://www.google.com/maps/place/Oasis+Air+AZ/@33.488765,-111.9278205,14z/data=!4m8!1m2!2m1!1sOasis+Air+AZ!3m4!1s0x872b0be6b5a6a9d3:0x965f47e037fbea3a!8m2!3d33.488765!4d-111.9278205","https://www.google.com/maps/place/Oasis+Air+AZ/@33.488765,-111.9278205,14z/data=!4m8!1m2!2m1!1sOasis+Air+AZ!3m4!1s0x872b0be6b5a6a9d3:0x965f47e037fbea3a!8m2!3d33.488765!4d-111.9278205",Domain responds but automated check is blocked,https://oasisairaz.com/,https://www.angi.com/companylist/us/az/phoenix/oasis-air-llc-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/hvac.htm | https://www.angi.com/companylist/us/az/casa-grande/hvac.htm,2026-07-22,platform-oasis-air-phoenix,,,,
80,80,New contact · identity and phone verified,Arizona VIP Plumbing LLC,Plumbing,Lake Havasu City,AZ,'+1 928-543-1949,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 7 hrs · rate 87% · 36 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,84,"https://www.google.com/maps/place/Arizona+VIP+Plumbing+Sewer+%26+Fire+Protection/@34.4982258,-114.3476367,14z/data=!4m8!1m2!2m1!1sArizona+VIP+Plumbing+Sewer+%26+Fire+Protection!3m4!1s0x80d1f1aeab61e8fb:0x5553ee7d3c9f44ad!8m2!3d34.4982258!4d-114.3476367","https://www.google.com/maps/place/Arizona+VIP+Plumbing+Sewer+%26+Fire+Protection/@34.4982258,-114.3476367,14z/data=!4m8!1m2!2m1!1sArizona+VIP+Plumbing+Sewer+%26+Fire+Protection!3m4!1s0x80d1f1aeab61e8fb:0x5553ee7d3c9f44ad!8m2!3d34.4982258!4d-114.3476367",Live,https://arizonavipplumbing.com/,,https://www.angi.com/companylist/us/az/lake-havasu-city/plumbing.htm,2026-07-22,platform-arizona-vip-plumbing-lake-havasu-city,,,,
81,81,New contact · identity and phone verified,GreenGo Roofing,Roofing,Tucson,AZ,'+1 520-475-4000,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs · 36 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,54,"https://www.google.com/maps/place/GreenGo+Roofing/@32.2530782,-110.7811892,14z/data=!4m8!1m2!2m1!1sGreenGo+Roofing!3m4!1s0x86d66f8690f028bb:0xe6f7a421655a609d!8m2!3d32.2530782!4d-110.7811892","https://www.google.com/maps/place/GreenGo+Roofing/@32.2530782,-110.7811892,14z/data=!4m8!1m2!2m1!1sGreenGo+Roofing!3m4!1s0x86d66f8690f028bb:0xe6f7a421655a609d!8m2!3d32.2530782!4d-110.7811892",Live,https://greengoroofing.com/,,https://www.angi.com/companylist/us/az/tucson/roofing.htm,2026-07-22,platform-greengo-roofing-tucson,,,,
82,82,New contact · identity and phone verified,Varsity Zone HVAC of Scottsdale,HVAC,Tempe,AZ,'+1 480-590-4647,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 40 mins · 26 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,46,"https://www.google.com/maps/place/Varsity+Zone+HVAC+of+Scottsdale/@33.4167,-111.9621492,14z/data=!4m8!1m2!2m1!1sVarsity+Zone+HVAC+of+Scottsdale!3m4!1s0x872b0f003ec5ff13:0x9a40e22a1fdd9ed7!8m2!3d33.4167!4d-111.9621492","https://www.google.com/maps/place/Varsity+Zone+HVAC+of+Scottsdale/@33.4167,-111.9621492,14z/data=!4m8!1m2!2m1!1sVarsity+Zone+HVAC+of+Scottsdale!3m4!1s0x872b0f003ec5ff13:0x9a40e22a1fdd9ed7!8m2!3d33.4167!4d-111.9621492",Live,https://www.varsityzone.com/scottsdale-az/,https://www.angi.com/companylist/us/az/tempe/varsity-zone-hvac-of-scottsdale-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/hvac.htm,2026-07-22,platform-varsity-zone-hvac-of-scottsdale-tempe,,,,
83,83,New contact · identity and phone verified,ESPINOZA'S LANDSCAPING LLC,Landscaping,Tucson,AZ,'+1 520-727-1135,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 10 mins · rate 95% · 21 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,2,"https://www.google.com/maps/place/Espinoz%40%27s+Landscaping+LLC/@31.9701219,-111.8908745,14z/data=!4m8!1m2!2m1!1sEspinoz%40%27s+Landscaping+LLC!3m4!1s0xa66d6969b4c14801:0x44f7d1a70c6ef9de!8m2!3d31.9701219!4d-111.8908745","https://www.google.com/maps/place/Espinoz%40%27s+Landscaping+LLC/@31.9701219,-111.8908745,14z/data=!4m8!1m2!2m1!1sEspinoz%40%27s+Landscaping+LLC!3m4!1s0xa66d6969b4c14801:0x44f7d1a70c6ef9de!8m2!3d31.9701219!4d-111.8908745",No owned website identified; official Instagram and Angi profiles found,,,https://www.angi.com/companylist/us/az/tucson/landscaping.htm,2026-07-22,platform-espinoza-s-landscaping-tucson,,,,
84,84,New contact · identity and phone verified,Chapillo Electric LLC,Electrical,Casa Grande,AZ,'+1 602-587-9929,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 3 hrs · rate 85% · 84 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,,0,"https://www.google.com/maps/place/CHAPILLO+ELECTRIC/@33.347947,-112.219944,14z/data=!4m8!1m2!2m1!1sCHAPILLO+ELECTRIC!3m4!1s0xaa3b910c2738e329:0xd67fdf9206a9678f!8m2!3d33.347947!4d-112.219944","https://www.google.com/maps/place/CHAPILLO+ELECTRIC/@33.347947,-112.219944,14z/data=!4m8!1m2!2m1!1sCHAPILLO+ELECTRIC!3m4!1s0xaa3b910c2738e329:0xd67fdf9206a9678f!8m2!3d33.347947!4d-112.219944",No owned website identified; recheck manually before pitching a website,,,https://www.angi.com/companylist/us/az/casa-grande/electrical.htm,2026-07-22,platform-chapillo-electric-casa-grande,,,,
85,85,New contact · identity and phone verified,Five Star Bath Solutions of Phoenix AZ,Kitchen & Bath Remodeling; Plumbing,Phoenix,AZ,'+1 602-362-8814,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 399 recent quote requests | Angi · 407 recent quote requests,Lead recovery,"Angi shows paid lead activity and the current business phone was independently verified. Google profile identity is still unresolved, so lead with what happens to missed paid calls rather than making a Google claim.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Five%20Star%20Bath%20Solutions%20of%20Phoenix%20AZ%20Arizona,Live,https://fivestarbathsolutions.com/,,https://www.angi.com/companylist/us/az/phoenix/kitchen-and-bath-remodeling.htm | https://www.angi.com/companylist/us/az/casa-grande/plumbing.htm,2026-07-22,platform-five-star-bath-solutions-of-phoenix-az-phoenix,,,,
86,,Research-only · not ready to call,Castle Cleaning,House Cleaning,Tucson,AZ,'+15208671328,,Angi + HomeAdvisor / Angi Leads,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | HomeAdvisor / Angi Leads: Active lead-platform signal (Likely active lead-buyer),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Castle%20Cleaning%20Arizona,Owned website surfaced; verify live before outreach,http://www.castlecleaningaz.com/,,https://www.angi.com/companylist/us/az/tucson/house-cleaning.htm | https://www.homeadvisor.com/tloc/Tucson-AZ/Maid-Service/,2026-07-21 | 2026-07-22,platform-castle-cleaning-tucson,Exact phone/place/domain/name + service-area match,,,
87,,Research-only · not ready to call,Chex Landscaping,Landscaping,Tucson,AZ,'+1 520-289-3663,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 177 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 14 reviews at 4.6, creating a concrete reputation-system conversation.",Current Google profile matched,4.6,14,"https://www.google.com/maps/place/Chex+Landscaping/@32.1347769,-110.9643165,14z/data=!4m8!1m2!2m1!1sChex+Landscaping!3m4!1s0x2fa40998d356f4d3:0x31d856f0eda1ca7c!8m2!3d32.1347769!4d-110.9643165","https://www.google.com/maps/place/Chex+Landscaping/@32.1347769,-110.9643165,14z/data=!4m8!1m2!2m1!1sChex+Landscaping!3m4!1s0x2fa40998d356f4d3:0x31d856f0eda1ca7c!8m2!3d32.1347769!4d-110.9643165",Live,https://www.chexlandscaping.com/,,https://www.angi.com/companylist/us/az/tucson/landscaping.htm,2026-07-22,platform-chex-landscaping-tucson,,,,
88,,Research-only · not ready to call,"Valleywide Cooling, LLC",HVAC,Gilbert,AZ,'+1 480-439-9999,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 7 hrs · rate 86% · 89 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,419,"https://www.google.com/maps/place/Valleywide+Cooling/@33.518260999999995,-111.8950935,14z/data=!4m8!1m2!2m1!1sValleywide+Cooling!3m4!1s0x872ba93d2aa5b245:0x4e0f1a947849aa1e!8m2!3d33.518260999999995!4d-111.8950935","https://www.google.com/maps/place/Valleywide+Cooling/@33.518260999999995,-111.8950935,14z/data=!4m8!1m2!2m1!1sValleywide+Cooling!3m4!1s0x872ba93d2aa5b245:0x4e0f1a947849aa1e!8m2!3d33.518260999999995!4d-111.8950935",Live,https://www.valleywidecooling.com/,https://www.angi.com/companylist/us/az/gilbert/valleywide-cooling-llc-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/hvac.htm,2026-07-22,platform-valleywide-cooling-gilbert,,,,
89,,Research-only · not ready to call,GOOD FAITH HEATING AND AIR CONDITIONING INC.,HVAC,Lake Havasu City,AZ,'+1 928-598-3455,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 8 hrs · 70 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,235,"https://www.google.com/maps/place/Good+Faith+Heating+and+Air+Conditioning/@35.2400235,-114.2848095,14z/data=!4m8!1m2!2m1!1sGood+Faith+Heating+and+Air+Conditioning!3m4!1s0xa8196820b151896d:0xad7b5d4a6ef380db!8m2!3d35.2400235!4d-114.2848095","https://www.google.com/maps/place/Good+Faith+Heating+and+Air+Conditioning/@35.2400235,-114.2848095,14z/data=!4m8!1m2!2m1!1sGood+Faith+Heating+and+Air+Conditioning!3m4!1s0xa8196820b151896d:0xad7b5d4a6ef380db!8m2!3d35.2400235!4d-114.2848095",Domain responds but automated check is blocked,http://goodfaithhvac.com/,,https://www.angi.com/companylist/us/az/lake-havasu-city/hvac.htm,2026-07-22,platform-good-faith-heating-and-air-conditioning-lake-havasu-city,,,,
90,,Research-only · not ready to call,Bluefrog Plumbing + Drain Of Gilbert,Plumbing,Gilbert,AZ,'+1 480-757-6295,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 6 hrs · 96 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,145,"https://www.google.com/maps/place/bluefrog+Plumbing+and+Drain+of+Gilbert/@33.310857999999996,-111.74219389999999,14z/data=!4m8!1m2!2m1!1sbluefrog+Plumbing+and+Drain+of+Gilbert!3m4!1s0x40e8f2fc69371e8b:0x47345b7f1f7b944a!8m2!3d33.310857999999996!4d-111.74219389999999","https://www.google.com/maps/place/bluefrog+Plumbing+and+Drain+of+Gilbert/@33.310857999999996,-111.74219389999999,14z/data=!4m8!1m2!2m1!1sbluefrog+Plumbing+and+Drain+of+Gilbert!3m4!1s0x40e8f2fc69371e8b:0x47345b7f1f7b944a!8m2!3d33.310857999999996!4d-111.74219389999999",Live,https://bluefrogplumbing.com/gilbert/,https://www.angi.com/companylist/us/az/gilbert/prime-plumbing-professionals-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/plumbing.htm,2026-07-22,platform-bluefrog-plumbing-drain-of-gilbert-gilbert,,,,
91,,Research-only · not ready to call,Darling Wildlife and Pest Control Services,Pest Control,Phoenix,AZ,'+1 480-848-6957,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 3 hrs · 57 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,82,"https://www.google.com/maps/place/Darling+Wildlife+and+Pest+Control+Services/@33.5206984,-111.8398125,14z/data=!4m8!1m2!2m1!1sDarling+Wildlife+and+Pest+Control+Services!3m4!1s0x254d025b997ef53b:0x4a05ec0f9b284878!8m2!3d33.5206984!4d-111.8398125","https://www.google.com/maps/place/Darling+Wildlife+and+Pest+Control+Services/@33.5206984,-111.8398125,14z/data=!4m8!1m2!2m1!1sDarling+Wildlife+and+Pest+Control+Services!3m4!1s0x254d025b997ef53b:0x4a05ec0f9b284878!8m2!3d33.5206984!4d-111.8398125",Live,https://darlingwildlifeservices.com/,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm,2026-07-22,platform-darling-wildlife-and-pest-control-services-phoenix,,,,
92,,Research-only · not ready to call,Velo Property Solutions,Property maintenance and landscaping,El Mirage,AZ,'+16023253235,,Thumbtack,Confirmed paid,Thumbtack: Active lead-platform signal (Confirmed paid),,Lead recovery,"Thumbtack shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,45,https://www.google.com/maps/search/?api=1&query=Velo%20Property%20Solutions%20Arizona,https://www.google.com/maps/search/?api=1&query=Velo%20Property%20Solutions%20Arizona,Owned website found,https://www.velocleansarizona.com/,https://www.thumbtack.com/az/surprise/pressure-washing/velo-property-solutions/service/530920039122092036,https://www.thumbtack.com/az/phoenix/landscaping/,2026-07-21,phone-6023253235,,,,
93,,Research-only · not ready to call,"P & R Electric, LLC",Electrical,Tucson,AZ,'+1 520-403-6572,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs · rate 88% · 37 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,9,"https://www.google.com/maps/place/P+%26+R+Electric/@32.2372574,-110.9643165,14z/data=!4m8!1m2!2m1!1sP+%26+R+Electric!3m4!1s0x86d60b2ec8ebca7d:0xdca6832066e669de!8m2!3d32.2372574!4d-110.9643165","https://www.google.com/maps/place/P+%26+R+Electric/@32.2372574,-110.9643165,14z/data=!4m8!1m2!2m1!1sP+%26+R+Electric!3m4!1s0x86d60b2ec8ebca7d:0xdca6832066e669de!8m2!3d32.2372574!4d-110.9643165",Live,https://www.pandrelectric.com/,,https://www.angi.com/companylist/us/az/tucson/electrical.htm,2026-07-22,platform-p-and-r-electric-tucson,,,,
94,,Research-only · not ready to call,Southwest Roofing and Design LLC,Roofing,Tucson,AZ,'+1 520-906-2625,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 8 hrs · rate 87% · 40 recent quote requests | Angi · response 7 hrs · rate 96% · 31 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,7,"https://www.google.com/maps/place/Southwest+Roofing+And+Design/@32.1347769,-110.9643165,14z/data=!4m8!1m2!2m1!1sSouthwest+Roofing+And+Design!3m4!1s0x2220249ecc230007:0xc433fcd6b89de6c7!8m2!3d32.1347769!4d-110.9643165","https://www.google.com/maps/place/Southwest+Roofing+And+Design/@32.1347769,-110.9643165,14z/data=!4m8!1m2!2m1!1sSouthwest+Roofing+And+Design!3m4!1s0x2220249ecc230007:0xc433fcd6b89de6c7!8m2!3d32.1347769!4d-110.9643165",Live,https://www.swroofinganddesign.com/,,https://www.angi.com/companylist/us/az/tucson/roofing.htm | https://www.angi.com/companylist/us/az/sierra-vista/roofing.htm,2026-07-22,platform-southwest-roofing-and-design-tucson,,,,
